ID,Lab,Hand,Sex,CDA2,CDA4,CDA6,K,D_prime
sub-Vog070,Florida,l,f,NaN,NaN,NaN,2.62387139763452,3.02534534608037
sub-Vog071,Florida,r,f,NaN,NaN,NaN,1.21012192799566,1.69716221285874
sub-Vog072,Florida,r,f,NaN,NaN,NaN,2.49274795886357,2.17876320755618
sub-Vog073,Florida,r,f,NaN,NaN,NaN,2.34543778610618,2.01642739861935
sub-Vog074,Florida,l,m,NaN,NaN,NaN,0.819230021870678,0.739992118361974
sub-Vog075,Florida,r,f,NaN,NaN,NaN,1.80800678627116,1.59931981708501
sub-Vog076,Florida,r,f,NaN,NaN,NaN,2.17756979424571,1.76867782849013
sub-Vog077,Florida,r,f,NaN,NaN,NaN,1.70196413319193,1.58831767155956
sub-Vog078,Florida,r,m,NaN,NaN,NaN,2.16598995827888,2.07966663642841
sub-Vog079,Mainz,r,f,NaN,NaN,NaN,2.89046032506121,2.55881186837392
sub-Vog080,Mainz,r,f,NaN,NaN,NaN,3.14173950323652,3.11979442147819
sub-Vog081,Mainz,r,f,NaN,NaN,NaN,1.96814630248301,2.09440314676984
sub-Vog082,Mainz,r,m,NaN,NaN,NaN,1.7856196181023,1.714772469236
sub-Vog083,Mainz,r,f,NaN,NaN,NaN,1.66407057836116,2.38521213631286
sub-Vog084,Mainz,r,f,NaN,NaN,NaN,1.5678328328667,1.27584378522655
sub-Vog085,Mainz,r,f,NaN,NaN,NaN,3.02823980145777,2.90464238263222
sub-Vog086,Mainz,r,m,NaN,NaN,NaN,2.5084466546354,2.3914490208792
sub-Vog087,Mainz,r,f,NaN,NaN,NaN,1.82089184378187,2.1610849906108
sub-Vog088,Mainz,r,f,NaN,NaN,NaN,0.998739466025603,0.868029144798181
sub-Vog089,Mainz,r,f,NaN,NaN,NaN,2.2605295964787,2.16397623664742
sub-Vog090,Mainz,a,f,NaN,NaN,NaN,1.79347183896461,1.97889514417578
sub-Vog091,Mainz,r,m,NaN,NaN,NaN,2.50131128916014,2.50633193170824
sub-Vog092,Mainz,r,f,NaN,NaN,NaN,1.6037132371431,1.43883610098352
sub-Vog093,Mainz,r,m,NaN,NaN,NaN,2.14638103812394,2.33019188656587
sub-Vog094,Mainz,r,f,NaN,NaN,NaN,0.215972342089989,0.182478041428464
sub-Vog095,Mainz,r,f,NaN,NaN,NaN,2.73696930752206,2.70648458303452
sub-Vog096,Mainz,r,m,NaN,NaN,NaN,2.10112533954979,2.42531785200718
sub-Vog097,Mainz,r,m,NaN,NaN,NaN,2.30551456606072,2.54640453518878
sub-Vog098,Mainz,l,f,NaN,NaN,NaN,2.31089768831096,1.88707093917611
sub-Vog099,Mainz,r,m,NaN,NaN,NaN,1.93616737421352,2.49249372411979
sub-Vog100,Mainz,r,f,NaN,NaN,NaN,1.30660558008514,1.29350130531573
sub-Vog101,Mainz,r,f,NaN,NaN,NaN,2.78131459964712,2.49071234343284
sub-Vog102,Mainz,r,f,NaN,NaN,NaN,3.07403599685256,3.22872606555054
sub-Vog103,Mainz,l,m,NaN,NaN,NaN,1.75824034900788,1.67830111346292
sub-Vog104,Münster,r,f,NaN,NaN,NaN,3.5419952844807,3.71352442827891
sub-Vog105,Münster,r,m,NaN,NaN,NaN,2.56570252514125,2.74916122101662
sub-Vog106,Münster,r,m,NaN,NaN,NaN,2.26891405586275,2.78890512206943
