ID,Lab,Hand,Sex,CDA2,CDA4,CDA6,Contra,Ipsi,K,D_prime
sub-Vog001,Dartmouth,r,f,-0.196123627870915,-0.152801134221116,-0.20775267693778,-1.25873165158084,-1.07230996156196,2.79276791267099,2.58800220150584
sub-Vog002,Dartmouth,r,f,0.315000719471175,0.195544843110021,-0.0113051040872188,-2.01632659029041,-2.19578616594025,2.77101086617203,2.74421268998142
sub-Vog003,Dartmouth,r,f,-0.0556277878559124,-0.409643246133884,-1.03913528550658,-1.04588202187031,-0.545009454909086,1.99974363442821,1.73109063512027
sub-Vog004,Dartmouth,r,f,0.101755488796802,-0.0489836199556846,-0.614290851591529,0.529548175977375,0.704321809084201,2.39118008601577,2.82729591385549
sub-Vog005,Dartmouth,r,f,-0.569944091428998,-0.863603590959067,-0.765381013051316,-3.80425074817735,-3.06721014862962,2.23807602588893,2.05867841373431
sub-Vog006,Dartmouth,r,f,-0.290152130756776,-0.93678608627211,-0.848339948898258,1.32565345316168,1.97060738937171,2.8329682042616,2.59042445159651
sub-Vog007,Dartmouth,r,f,-0.00296686504771246,-0.752067468410644,-0.908014029882961,-1.74133332921126,-1.18658921702978,2.70849820529076,2.42657688000991
sub-Vog008,Dartmouth,r,m,-0.0465209444151045,0.243476026106599,0.31384564351796,-0.666755405194181,-0.854316171936792,1.17868126948338,1.13508708577577
sub-Vog010,Dartmouth,r,o,-0.149551822499548,-0.538254374743092,-0.243373588235673,-1.87514760001717,-1.58317409833156,2.16793974380546,1.85399883512149
sub-Vog011,Dartmouth,r,f,-0.512494721065374,-1.03215383505542,-0.508188734649291,0.0480816865500212,0.738612699417757,1.86754396770878,2.39442847398863
sub-Vog012,Dartmouth,l,f,-1.26961871346205,-1.33896079046914,-0.856430578650674,-2.48936527030477,-1.33389954786369,2.42030801019688,1.98110498777183
sub-Vog013,Dartmouth,r,f,-0.437119347271428,-0.809663200638427,-0.0812016332546915,-1.37844633711419,-0.958489338953554,1.67272352306618,1.9693552593427
sub-Vog014,Dartmouth,r,f,-2.37792259205445,-3.20830355242689,-3.22758326794796,-2.29295010796568,0.644412461312439,2.21631451500403,2.01740588838794
sub-Vog015,Dartmouth,r,f,-0.773129523513148,-0.703354718074806,-0.836555462707035,-1.862042852325,-1.08603421288521,2.15605010155291,2.0421828590382
sub-Vog016,Dartmouth,r,f,-0.530488193601851,-0.165781839599249,0.152095423774307,-5.74742300588865,-5.57954681617484,1.22947820666916,1.08890090305522
sub-Vog017,Dartmouth,r,m,0.226468742729493,-0.896146758360535,-2.96568145631079,-2.53603769024167,-1.29956628372904,2.10441230997405,2.22799745540601
sub-Vog018,Dartmouth,l,m,-0.729059631979522,-0.46533446780979,-0.360012671052593,-0.0330373666214095,0.504152125532209,1.4733452450293,1.31212292447766
sub-Vog019,Dartmouth,r,f,-0.845311291827606,-1.14497395431554,-0.384805303977219,-0.544372948313041,0.248020435077915,1.83724173225526,1.57098826901982
sub-Vog020,Dartmouth,l,f,-0.892426498860224,-1.42649339042284,-1.24583473489108,-2.45115936820294,-1.26331999995481,2.3886282586286,2.24576025058921
sub-Vog021,Dartmouth,r,m,-0.766712001140088,-1.27785573974319,-1.21965926922798,-1.86253361942794,-0.781598066796368,3.45322340275804,3.43313396178619
sub-Vog022,Dartmouth,r,f,0.00156852888690919,-0.607599504442803,-1.0034567444839,-0.88178211028551,-0.349263406720961,2.16160161632276,1.90819896739047
sub-Vog023,Dartmouth,n/a,m,-0.430913511163957,-0.715170545378895,-0.336594384196075,-0.835007534734555,-0.336615966697821,2.43260265286313,2.0472530836238
sub-Vog024,Dartmouth,n/a,m,-0.381281166445422,-0.298580340925494,-0.688371184371736,-1.93865027375021,-1.52338274728609,2.35585143257143,2.24286059261272
sub-Vog025,Dartmouth,r,m,-0.0924287131238673,-0.815212605853453,-0.804852074905834,-1.81479102573895,-1.23905030318011,2.11148329701309,2.60412094857821
sub-Vog026,Dartmouth,r,m,-0.926561264468054,-1.19894384505651,-0.936750841892764,-2.66056349408594,-1.63881113843408,2.12591381189209,1.94914654183969
sub-Vog027,Dartmouth,r,f,-1.68286293956541,-1.82012864246065,-1.91123786781574,-0.0251697775631769,1.83836830204862,2.36654947701123,3.09847923185692
sub-Vog028,Dartmouth,r,f,-0.00511323278631459,-0.415940640127826,-0.166696879507687,-0.979039668588658,-0.788264924262559,2.62578812166656,2.16524510522239
sub-Vog029,Florida,r,f,-1.67411199728383,-0.403938413073341,-0.211747927237159,-1.42326331959394,-0.676425569969734,1.63244721844362,1.30094736026392
sub-Vog031,Florida,l,f,0.0821524339521886,0.0772732514605418,0.266232752118739,-0.52701482482987,-0.697873279619339,1.56541425108298,1.49744128265789
sub-Vog032,Florida,r,f,-0.41924435363709,-0.159867266477027,-0.0726331224406446,-0.508724519349124,-0.294700612297849,2.56421003797397,2.20433334045398
sub-Vog033,Florida,r,f,-1.42070506917245,-0.688286680377326,-1.04518388085424,-0.697427760425587,0.357615807502964,1.49593724208199,1.17617368470309
sub-Vog035,Florida,r,f,-0.217167312058076,-1.41951411385307,-0.892597396091202,-1.8926383999587,-1.02981402061767,2.16024103817418,2.26186737265802
sub-Vog036,Florida,r,m,-0.777260379930245,-0.267120933506331,-0.3303357521323,0.0927516182237969,0.554900690337654,2.25119804562925,2.35046738977216
