Lab,N,avgAcc2,sdAcc2,avgAcc4,sdAcc4,avgAcc6,sdAcc6,avgK2,sdK2,avgK4,sdK4,avgK6,sdK6,avgD2,sdD2,avgD4,sdD4,avgD6,sdD6,avgAge,sdAge,sex_val_1,sex_val_2,sex_val_3,sex_labels,hand_val_1,hand_val_2,hand_val_3,hand_val_4,hand_labels
Dartmouth,28,0.91,0.06,0.8,0.08,0.69,0.08,1.71,0.18,2.53,0.56,2.48,0.87,3.24,0.88,2,0.58,1.29,0.45,20.29,3.41,18,9,1,f,m,o,23,3,2,,r,l,n/a
Florida,50,0.75,0.24,0.65,0.18,0.56,0.12,1.27,0.89,1.67,1.25,1.41,1.13,2.19,1.69,1.26,1.02,0.73,0.65,19.64,1.9,41,9,,f,m,34,11,3,2,r,l,a,n/a
Mainz,25,0.9,0.1,0.77,0.09,0.67,0.08,1.67,0.37,2.36,0.78,2.23,1.03,3.25,1.01,1.89,0.75,1.2,0.55,23.04,3.02,17,8,,f,m,22,1,2,,r,a,l
Münster,30,0.94,0.1,0.85,0.09,0.73,0.08,1.81,0.39,2.93,0.72,2.97,1.02,3.99,1.07,2.48,0.73,1.6,0.6,22.8,2.27,25,5,,f,m,28,2,,,r,l
NorthDakota,28,0.84,0.12,0.68,0.1,0.59,0.08,1.5,0.46,1.72,0.79,1.41,0.84,2.76,1.23,1.32,0.62,0.74,0.41,24.93,5.8,15,13,,m,f,28,,,,n/a
Ohio,24,0.93,0.05,0.82,0.06,0.7,0.07,1.76,0.15,2.68,0.46,2.46,0.83,3.41,0.78,2.19,0.66,1.31,0.45,24.13,3.39,18,6,,f,m,24,,,,n/a
Reykjavik,30,0.86,0.16,0.72,0.11,0.61,0.07,1.49,0.65,1.83,0.84,1.5,0.77,2.75,1.36,1.43,0.69,0.83,0.43,24.5,4.9,2,21,7,n/a,f,m,1,25,4,,n/a,r,l
Sheffield,25,0.88,0.08,0.74,0.11,0.64,0.1,1.59,0.25,2.06,0.84,2.03,1.12,2.78,0.7,1.68,0.93,1.18,0.76,20.04,2.95,20,5,,f,m,23,2,,,r,a
Zürich (Prof. Langer),40,0.92,0.08,0.8,0.09,0.69,0.08,1.75,0.31,2.55,0.67,2.43,0.9,3.5,0.91,2.14,0.68,1.35,0.54,23.35,2.82,15,25,,m,f,40,,,,r
Zürich (Prof. Sauseng),24,0.92,0.07,0.81,0.09,0.7,0.09,1.77,0.2,2.65,0.66,2.66,0.93,3.58,0.96,2.2,0.72,1.44,0.54,22.92,3.97,8,16,,m,f,24,,,,r
