ID,Lab,Hand,Sex,CDA2,CDA4,CDA6,Contra,Ipsi,K,D_prime
sub-Vog001,Dartmouth,r,f,-0.176668889764061,-0.140585941746515,-0.226827469792932,-1.28730645619428,-1.10463207566571,2.79276791267099,2.58800220150584
sub-Vog002,Dartmouth,r,f,0.274203066490706,0.19715876440005,-0.0590249594381161,-2.15903922839598,-2.30726129401406,2.77101086617203,2.74421268998142
sub-Vog003,Dartmouth,r,f,-0.0556277878559124,-0.409643246133884,-1.03913528550658,-1.04588202187031,-0.545009454909086,1.99974363442821,1.73109063512027
sub-Vog004,Dartmouth,r,f,0.101755488796802,-0.0489836199556846,-0.614290851591529,0.529548175977375,0.704321809084201,2.39118008601577,2.82729591385549
sub-Vog005,Dartmouth,r,f,-0.574548773403126,-0.912053158888038,-0.777949861018405,-3.72749862243373,-2.96902181059298,2.23807602588893,2.05867841373431
sub-Vog006,Dartmouth,r,f,-0.265762665318921,-1.24502799889642,-0.816655358666607,1.44249677525181,2.15551226930432,2.8329682042616,2.59042445159651
sub-Vog007,Dartmouth,r,f,-0.00296686504771246,-0.752067468410644,-0.908014029882961,-1.74133332921126,-1.18658921702978,2.70849820529076,2.42657688000991
sub-Vog008,Dartmouth,r,m,-0.0638930841847415,0.183848209965513,0.340522628373278,-0.629361355068359,-0.802657396146336,1.17868126948338,1.13508708577577
sub-Vog010,Dartmouth,r,o,-0.833031337124714,-0.483680003333629,-0.217132277536852,-1.74410734042076,-1.2589132411831,2.16793974380546,1.85399883512149
sub-Vog011,Dartmouth,r,f,-0.511598257185187,-1.03342818777122,-0.508910619678059,0.0842323479072918,0.775143440485672,1.86754396770878,2.39442847398863
sub-Vog012,Dartmouth,l,f,-1.26084657132995,-1.33446177200506,-0.849050739927245,-2.45929630869787,-1.31067934027088,2.42030801019688,1.98110498777183
sub-Vog013,Dartmouth,r,f,-0.438405304101898,-0.870056288370115,-0.150028466950203,-1.30799682520935,-0.844799209955598,1.67272352306618,1.9693552593427
sub-Vog014,Dartmouth,r,f,-2.37792259205445,-3.20830355242689,-3.22758326794796,-2.29295010796568,0.644412461312439,2.21631451500403,2.01740588838794
sub-Vog015,Dartmouth,r,f,-0.69752062221709,-0.813398426089424,-0.956905105433285,-1.88884399657462,-1.06217266890843,2.15605010155291,2.0421828590382
sub-Vog016,Dartmouth,r,f,-0.533289195677792,-0.187480901400187,0.149358844135869,-5.75781069854682,-5.58365097921086,1.22947820666916,1.08890090305522
sub-Vog017,Dartmouth,r,m,0.246808615635968,-0.897952570822121,-2.94663870902973,-2.43450467525218,-1.21060947286549,2.10441230997405,2.22799745540601
sub-Vog018,Dartmouth,l,m,-0.729059631979522,-0.46533446780979,-0.360012671052593,-0.0330373666214095,0.504152125532209,1.4733452450293,1.31212292447766
sub-Vog019,Dartmouth,r,f,-0.845311291827606,-1.14497395431554,-0.384805303977219,-0.544372948313041,0.248020435077915,1.83724173225526,1.57098826901982
sub-Vog020,Dartmouth,l,f,-0.92474973856117,-1.47156991998601,-1.10508001532088,-2.57351229588019,-1.40746504699926,2.3886282586286,2.24576025058921
sub-Vog021,Dartmouth,r,m,-0.765504859682946,-1.3314941565103,-1.19843321583537,-1.88369872938566,-0.794828841991003,3.45322340275804,3.43313396178619
sub-Vog022,Dartmouth,r,f,0.24215119630663,-0.343388698919346,-0.590731552612309,-0.99035098646476,-0.767520339601108,2.16160161632276,1.90819896739047
sub-Vog023,Dartmouth,n/a,m,-0.461221236260547,-0.715155095051634,-0.336602718028331,-0.822181354024838,-0.313153258891633,2.43260265286313,2.0472530836238
sub-Vog024,Dartmouth,n/a,m,-0.394539442515848,-0.281400965293356,-0.694946780559981,-1.97659921764612,-1.55902150863575,2.35585143257143,2.24286059261272
sub-Vog025,Dartmouth,r,m,-0.090066123722637,-0.812049921692479,-0.801165234695001,-1.8158544074496,-1.24310851491017,2.11148329701309,2.60412094857821
sub-Vog026,Dartmouth,r,m,-0.926561264468054,-1.19894384505651,-0.936750841892764,-2.66056349408594,-1.63881113843408,2.12591381189209,1.94914654183969
sub-Vog027,Dartmouth,r,f,-1.68286293956541,-1.82012864246065,-1.91123786781574,-0.0251697775631769,1.83836830204862,2.36654947701123,3.09847923185692
sub-Vog028,Dartmouth,r,f,-0.00511323278631459,-0.415940640127826,-0.166696879507687,-0.979039668588658,-0.788264924262559,2.62578812166656,2.16524510522239
sub-Vog029,Florida,r,f,-1.43809344708642,-0.632434142190647,-0.505428042860367,-1.68728646967698,-0.813902037601697,1.63244721844362,1.30094736026392
sub-Vog031,Florida,l,f,0.0690563216023701,-0.377624716662268,0.408472425177104,-0.489985498748817,-0.566001415088822,1.56541425108298,1.49744128265789
sub-Vog032,Florida,r,f,-0.501285708312193,-0.410648352311329,0.0379968878064953,-0.249832241681754,0.0445546358364292,2.56421003797397,2.20433334045398
sub-Vog033,Florida,r,f,-1.68374077300926,-0.615275638564278,-0.907207747727871,-1.09075137493183,-0.0107804299428336,1.49593724208199,1.17617368470309
sub-Vog035,Florida,r,f,0.120005920812904,-1.21069942842094,-0.469731108060725,-1.65422049631815,-1.12099640131206,2.16024103817418,2.26186737265802
sub-Vog036,Florida,r,m,-1.00834965191527,-0.333861933093559,-0.262479016045151,-0.120562629790482,0.425896957758489,2.25119804562925,2.35046738977216
sub-Vog037,Florida,l,f,0.547672091853234,0.183496157013157,-1.02990303851038,-2.1202623742212,-2.03010037832321,1.50276531841305,1.37166036914623
