Lab,n_subj,CDA2,CDA4,CDA6
Dartmouth,28,0.3571220329752827,0.3422080497246577,0.36222068276436475
Florida,50,1.218429491227469,1.1621059469690098,1.237035020249331
Mainz,25,0.3818872746627165,0.3815525874688006,0.35386046201221505
Münster,29,0.39636838675417857,0.3984302734094779,0.4056037853239117
NorthDakota,28,0.38068014259447797,0.39115588983996363,0.3823872929558482
Ohio,24,0.42294652738984084,0.42656093920381327,0.4442522555654463
Reykjavik,30,0.47475890839376994,0.4924317796194635,0.5749623068695779
Sheffield,25,0.4947163122462069,0.4856610294489085,0.48229876149528167
Zürich (Prof. Langer),40,0.33017996039827263,0.3328672527101511,0.34141998211621144
Zürich (Prof. Sauseng),24,0.4961929665605375,0.35836273717357886,0.6997732992312075
